"i","j","fij"
"LBR","BEL",371
"LBY","BEL",216
"LIE","BEL",3
"LTU","BEL",76
"LUX","BEL",12908
"MDG","BEL",1049
"MWI","BEL",29
"MYS","BEL",334
"MDV","BEL",2
"MLI","BEL",270
"MLT","BEL",259
"MRT","BEL",875
"MUS","BEL",2939
"MEX","BEL",1647
"MCO","BEL",77
"MNG","BEL",47
"MNE","BEL",10
"MAR","BEL",295459
"MOZ","BEL",189
"MMR","BEL",49
"NAM","BEL",29
"NRU","BEL",0
"NPL","BEL",59
"NLD","BEL",55946
"NZL","BEL",219
"NIC","BEL",138
"NER","BEL",1124
"NGA","BEL",1443
"MKD","BEL",81
"NOR","BEL",763
"OMN","BEL",2
"PAK","BEL",3767
"PLW","BEL",0
"PAN","BEL",108
"PNG","BEL",99
"PRY","BEL",166
"PER","BEL",1877
"PHL","BEL",7502
"POL","BEL",5537
"PRT","BEL",12386
"KOR","BEL",271
"MDA","BEL",46
"ROU","BEL",2261
"RUS","BEL",190
"RWA","BEL",2580
"SMR","BEL",13
"STP","BEL",35
"SAU","BEL",146
"SEN","BEL",1644
"SRB","BEL",197
"SYC","BEL",56
"SLE","BEL",1891
"SGP","BEL",412
"SVK","BEL",106
"SVN","BEL",23
"SOM","BEL",2103
"ZAF","BEL",2761
"ESP","BEL",41437
"LKA","BEL",238
"PSE","BEL",8
"SDN","BEL",175
"SUR","BEL",274
"SWE","BEL",1593
"CHE","BEL",5458
"SYR","BEL",1712
"TJK","BEL",6
"THA","BEL",3947
"TGO","BEL",1610
"TUN","BEL",17755
"TUR","BEL",188809
"TKM","BEL",1
"UGA","BEL",208
"UKR","BEL",527
"GBR","BEL",20477
"TZA","BEL",228
"USA","BEL",15122
"URY","BEL",337
"UZB","BEL",10
"VEN","BEL",565
"VNM","BEL",2690
"YEM","BEL",110
"ZMB","BEL",221
"ZWE","BEL",174
"CAN","BLZ",542
"CHN","BLZ",551
"HKG","BLZ",47
"SLV","BLZ",6691
"DEU","BLZ",45
"GTM","BLZ",12650
"HTI","BLZ",35
"HND","BLZ",2764
"IND","BLZ",247
"JAM","BLZ",445
"LBN","BLZ",35
"MEX","BLZ",3025
"NGA","BLZ",30
"GBR","BLZ",306
"USA","BLZ",1901
"BFA","BEN",3507
"TCD","BEN",143
"COG","BEN",393
"CIV","BEN",2836
"FRA","BEN",370
"GHA","BEN",2107
"MLI","BEN",265
"NER","BEN",26721
"NGA","BEN",15728
"TGO","BEN",16968
"AUS","BMU",37
"AUT","BMU",26
"BEL","BMU",18
"CAN","BMU",2295
"CHN","BMU",85
"CUB","BMU",11
"DNK","BMU",23
"DOM","BMU",9
"FRA","BMU",106
"DEU","BMU",228
"GHA","BMU",17
"GRC","BMU",100
"GUY","BMU",51
"HTI","BMU",1028
"IND","BMU",156
"IRL","BMU",87
"ISR","BMU",15
"ITA","BMU",81
"JAM","BMU",316
"JPN","BMU",109
"MYS","BMU",13
"NGA","BMU",25
"PAK","BMU",13
"PHL","BMU",92
"POL","BMU",25
"PRT","BMU",1530
"ROU","BMU",14
"ZAF","BMU",33
"ESP","BMU",94
"CHE","BMU",117
"TTO","BMU",34
"TUR","BMU",26
"TCA","BMU",158
"GBR","BMU",4590
"USA","BMU",3468
"AUS","BTN",12
"BGD","BTN",24
"CAN","BTN",17
"CHN","BTN",422
"DNK","BTN",18
"FRA","BTN",14
"DEU","BTN",12
"IND","BTN",20841
"ITA","BTN",6
"JPN","BTN",59
"MMR","BTN",16
"NPL","BTN",334
"NLD","BTN",9
"NZL","BTN",11
"PAK","BTN",10
"PHL","BTN",9
"KOR","BTN",15
"SGP","BTN",8
"LKA","BTN",15
"SWE","BTN",11
"CHE","BTN",11
"THA","BTN",28
"GBR","BTN",17
"USA","BTN",63
"AFG","BOL",2
"ALB","BOL",6
"DZA","BOL",4
"AND","BOL",2
"AGO","BOL",6
"ATG","BOL",10
"ARG","BOL",21923
"ARM","BOL",0
"ABW","BOL",0
"AUS","BOL",74
"AUT","BOL",170
"AZE","BOL",0
"BHS","BOL",9
"BHR","BOL",0
"BGD","BOL",5
"BRB","BOL",7
"BLR","BOL",0
"BEL","BOL",268
"BLZ","BOL",991
"BEN","BOL",0
"BMU","BOL",0
"BES","BOL",13
"BIH","BOL",0
"BRA","BOL",10558
"BGR","BOL",16
"BDI","BOL",0
"CPV","BOL",0
"KHM","BOL",0
"CMR","BOL",1
"CAN","BOL",1765
"CAF","BOL",0
"TCD","BOL",6
"CHL","BOL",4807
"CHN","BOL",805
"HKG","BOL",0
"COL","BOL",651
"COG","BOL",1
"CRI","BOL",102
"CIV","BOL",4
"HRV","BOL",0
"CUB","BOL",105
"CUW","BOL",110
"CYP","BOL",9
"CZE","BOL",129
"PRK","BOL",122
"COD","BOL",5
"DNK","BOL",21
"DMA","BOL",6
"DOM","BOL",44
"ECU","BOL",299
"EGY","BOL",39
"SLV","BOL",57
"ERI","BOL",0
"EST","BOL",0
"ETH","BOL",4
"FJI","BOL",0
"FIN","BOL",75
"FRA","BOL",491
"GUF","BOL",0
"GAB","BOL",4
"GEO","BOL",0
"DEU","BOL",1351
"GHA","BOL",1
"GIB","BOL",0
"GRC","BOL",15
"GRD","BOL",1
