"i","j","fij"
"NPL","BEL",30
"NLD","BEL",26623
"NZL","BEL",98
"NIC","BEL",95
"NER","BEL",393
"NGA","BEL",556
"MKD","BEL",37
"NOR","BEL",343
"OMN","BEL",2
"PAK","BEL",1006
"PLW","BEL",0
"PAN","BEL",71
"PNG","BEL",33
"PRY","BEL",113
"PER","BEL",1189
"PHL","BEL",7440
"POL","BEL",2977
"PRT","BEL",5824
"KOR","BEL",138
"MDA","BEL",29
"ROU","BEL",1379
"RUS","BEL",91
"RWA","BEL",1034
"SMR","BEL",3
"STP","BEL",22
"SAU","BEL",86
"SEN","BEL",665
"SRB","BEL",92
"SYC","BEL",35
"SLE","BEL",661
"SGP","BEL",201
"SVK","BEL",64
"SVN","BEL",10
"SOM","BEL",735
"ZAF","BEL",1549
"ESP","BEL",21105
"LKA","BEL",128
"PSE","BEL",2
"SDN","BEL",74
"SUR","BEL",193
"SWE","BEL",748
"CHE","BEL",2481
"SYR","BEL",695
"TJK","BEL",2
"THA","BEL",3102
"TGO","BEL",563
"TUN","BEL",6161
"TUR","BEL",93688
"TKM","BEL",0
"UGA","BEL",93
"UKR","BEL",345
"GBR","BEL",9446
"TZA","BEL",111
"USA","BEL",7849
"URY","BEL",155
"UZB","BEL",5
"VEN","BEL",351
"VNM","BEL",1382
"YEM","BEL",36
"ZMB","BEL",114
"ZWE","BEL",96
"CAN","BLZ",273
"CHN","BLZ",211
"HKG","BLZ",22
"SLV","BLZ",2989
"DEU","BLZ",16
"GTM","BLZ",6146
"HTI","BLZ",16
"HND","BLZ",1243
"IND","BLZ",109
"JAM","BLZ",185
"LBN","BLZ",9
"MEX","BLZ",1323
"NGA","BLZ",5
"GBR","BLZ",111
"USA","BLZ",898
"BFA","BEN",1441
"TCD","BEN",66
"COG","BEN",184
"CIV","BEN",1359
"FRA","BEN",180
"GHA","BEN",1010
"MLI","BEN",127
"NER","BEN",10878
"NGA","BEN",6324
"TGO","BEN",11178
"AUS","BMU",18
"AUT","BMU",18
"BEL","BMU",10
"CAN","BMU",1311
"CHN","BMU",29
"CUB","BMU",6
"DNK","BMU",8
"DOM","BMU",4
"FRA","BMU",36
"DEU","BMU",109
"GHA","BMU",7
"GRC","BMU",37
"GUY","BMU",23
"HTI","BMU",362
"IND","BMU",65
"IRL","BMU",29
"ISR","BMU",5
"ITA","BMU",25
"JAM","BMU",218
"JPN","BMU",31
"MYS","BMU",4
"NGA","BMU",7
"PAK","BMU",5
"PHL","BMU",44
"POL","BMU",11
"PRT","BMU",1343
"ROU","BMU",6
"ZAF","BMU",13
"ESP","BMU",29
"CHE","BMU",41
"TTO","BMU",16
"TUR","BMU",11
"TCA","BMU",85
"GBR","BMU",2025
"USA","BMU",1809
"AUS","BTN",2
"BGD","BTN",8
"CAN","BTN",9
"CHN","BTN",197
"DNK","BTN",6
"FRA","BTN",7
"DEU","BTN",5
"IND","BTN",3524
"ITA","BTN",2
"JPN","BTN",21
"MMR","BTN",6
"NPL","BTN",114
"NLD","BTN",3
"NZL","BTN",4
"PAK","BTN",0
"PHL","BTN",2
"KOR","BTN",8
"SGP","BTN",4
"LKA","BTN",7
"SWE","BTN",5
"CHE","BTN",2
"THA","BTN",13
"GBR","BTN",9
"USA","BTN",30
"AFG","BOL",1
"ALB","BOL",6
"DZA","BOL",1
"AND","BOL",1
"AGO","BOL",2
"ATG","BOL",2
"ARG","BOL",11239
"ARM","BOL",0
"ABW","BOL",0
"AUS","BOL",41
"AUT","BOL",84
"AZE","BOL",0
"BHS","BOL",2
"BHR","BOL",0
"BGD","BOL",2
"BRB","BOL",2
"BLR","BOL",0
"BEL","BOL",105
"BLZ","BOL",455
"BEN","BOL",0
"BMU","BOL",0
"BES","BOL",7
