"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"41549";"SDN";"BGR";38;0;38;-38;-1;0;38;38;1
"41550";"SDN";"BHR";4741;0;4741;-4741;-1;0;4741;4741;1
"41551";"SDN";"BHS";0;0;0;0;0;0;0;0;0
"41552";"SDN";"BIH";0;0;0;0;0;0;0;0;0
"41553";"SDN";"BLR";0;0;0;0;0;0;0;0;0
"41554";"SDN";"BLZ";0;0;0;0;0;0;0;0;0
"41555";"SDN";"BMU";0;0;0;0;0;0;0;0;0
"41556";"SDN";"BOL";2;0;2;-2;-1;0;2;2;1
"41557";"SDN";"BRA";0;0;0;0;0;0;0;0;0
"41558";"SDN";"BRB";0;0;0;0;0;0;0;0;0
"41559";"SDN";"BRN";0;0;0;0;0;0;0;0;0
"41560";"SDN";"BTN";0;0;0;0;0;0;0;0;0
"41561";"SDN";"BWA";0;0;0;0;0;0;0;0;0
"41562";"SDN";"CAF";10480;6908;17388;-3572;-0,205429031515988;6908;10480;3572;0,205429031515988
"41563";"SDN";"CAN";5543;0;5543;-5543;-1;0;5543;5543;1
"41564";"SDN";"CHE";776;0;776;-776;-1;0;776;776;1
"41565";"SDN";"CHL";2;0;2;-2;-1;0;2;2;1
"41566";"SDN";"CHN";0;574;574;574;1;0;574;574;1
"41567";"SDN";"CIV";0;0;0;0;0;0;0;0;0
"41568";"SDN";"CMR";0;0;0;0;0;0;0;0;0
"41569";"SDN";"COD";691;4549;5240;3858;0,736259541984733;691;4549;3858;0,736259541984733
"41570";"SDN";"COG";0;0;0;0;0;0;0;0;0
"41571";"SDN";"COK";0;0;0;0;0;0;0;0;0
"41572";"SDN";"COL";0;0;0;0;0;0;0;0;0
"41573";"SDN";"COM";0;0;0;0;0;0;0;0;0
"41574";"SDN";"CPV";0;0;0;0;0;0;0;0;0
"41575";"SDN";"CRI";1;0;1;-1;-1;0;1;1;1
"41576";"SDN";"CUB";0;0;0;0;0;0;0;0;0
"41577";"SDN";"CUW";0;0;0;0;0;0;0;0;0
"41578";"SDN";"CYM";0;0;0;0;0;0;0;0;0
"41579";"SDN";"CYP";266;0;266;-266;-1;0;266;266;1
"41580";"SDN";"CZE";48;0;48;-48;-1;0;48;48;1
"41581";"SDN";"DEU";0;0;0;0;0;0;0;0;0
"41582";"SDN";"DJI";0;0;0;0;0;0;0;0;0
"41583";"SDN";"DMA";0;0;0;0;0;0;0;0;0
"41584";"SDN";"DNK";443;0;443;-443;-1;0;443;443;1
"41585";"SDN";"DOM";0;0;0;0;0;0;0;0;0
"41586";"SDN";"DZA";807;0;807;-807;-1;0;807;807;1
"41587";"SDN";"ECU";0;0;0;0;0;0;0;0;0
"41588";"SDN";"EGY";24122;6930;31052;-17192;-0,553651938683499;6930;24122;17192;0,553651938683499
"41589";"SDN";"ERI";136;81987;82123;81851;0,996687894986788;136;81987;81851;0,996687894986788
"41590";"SDN";"ESH";0;0;0;0;0;0;0;0;0
"41591";"SDN";"ESP";271;0;271;-271;-1;0;271;271;1
"41592";"SDN";"EST";11;0;11;-11;-1;0;11;11;1
"41593";"SDN";"ETH";20012;24232;44244;4220;0,0953801645420848;20012;24232;4220;0,0953801645420848
"41594";"SDN";"FIN";582;0;582;-582;-1;0;582;582;1
"41595";"SDN";"FJI";0;0;0;0;0;0;0;0;0
"41596";"SDN";"FLK";0;0;0;0;0;0;0;0;0
"41597";"SDN";"FRA";3905;0;3905;-3905;-1;0;3905;3905;1
"41598";"SDN";"FRO";0;0;0;0;0;0;0;0;0
"41599";"SDN";"FSM";0;0;0;0;0;0;0;0;0
"41600";"SDN";"GAB";0;0;0;0;0;0;0;0;0
"41601";"SDN";"GBR";10190;0;10190;-10190;-1;0;10190;10190;1
"41602";"SDN";"GEO";0;0;0;0;0;0;0;0;0
"41603";"SDN";"GHA";19;0;19;-19;-1;0;19;19;1
"41604";"SDN";"GIB";0;0;0;0;0;0;0;0;0
"41605";"SDN";"GIN";5;0;5;-5;-1;0;5;5;1
"41606";"SDN";"GLP";0;0;0;0;0;0;0;0;0
"41607";"SDN";"GMB";0;0;0;0;0;0;0;0;0
"41608";"SDN";"GNB";0;0;0;0;0;0;0;0;0
"41609";"SDN";"GNQ";0;0;0;0;0;0;0;0;0
"41610";"SDN";"GRC";1082;0;1082;-1082;-1;0;1082;1082;1
"41611";"SDN";"GRD";0;0;0;0;0;0;0;0;0
"41612";"SDN";"GRL";0;0;0;0;0;0;0;0;0
"41613";"SDN";"GTM";0;0;0;0;0;0;0;0;0
"41614";"SDN";"GUF";0;0;0;0;0;0;0;0;0
"41615";"SDN";"GUM";0;0;0;0;0;0;0;0;0
"41616";"SDN";"GUY";0;0;0;0;0;0;0;0;0
"41617";"SDN";"HKG";0;0;0;0;0;0;0;0;0
"41618";"SDN";"HND";0;0;0;0;0;0;0;0;0
"41619";"SDN";"HRV";49;0;49;-49;-1;0;49;49;1
"41620";"SDN";"HTI";0;0;0;0;0;0;0;0;0
"41621";"SDN";"HUN";142;0;142;-142;-1;0;142;142;1
"41622";"SDN";"IDN";0;0;0;0;0;0;0;0;0
"41623";"SDN";"IMN";0;0;0;0;0;0;0;0;0
"41624";"SDN";"IND";0;660;660;660;1;0;660;660;1
"41625";"SDN";"IRL";372;0;372;-372;-1;0;372;372;1
"41626";"SDN";"IRN";0;0;0;0;0;0;0;0;0
"41627";"SDN";"IRQ";3329;0;3329;-3329;-1;0;3329;3329;1
"41628";"SDN";"ISL";0;0;0;0;0;0;0;0;0
"41629";"SDN";"ISR";0;0;0;0;0;0;0;0;0
"41630";"SDN";"ITA";2203;0;2203;-2203;-1;0;2203;2203;1
"41631";"SDN";"JAM";0;0;0;0;0;0;0;0;0
"41632";"SDN";"JEY";0;0;0;0;0;0;0;0;0
"41633";"SDN";"JOR";2849;0;2849;-2849;-1;0;2849;2849;1
"41634";"SDN";"JPN";0;0;0;0;0;0;0;0;0
"41635";"SDN";"KAZ";0;0;0;0;0;0;0;0;0
"41636";"SDN";"KEN";5133;1327;6460;-3806;-0,589164086687306;1327;5133;3806;0,589164086687306
"41637";"SDN";"KGZ";0;0;0;0;0;0;0;0;0
"41638";"SDN";"KHM";0;0;0;0;0;0;0;0;0
"41639";"SDN";"KIR";0;0;0;0;0;0;0;0;0
"41640";"SDN";"KNA";0;0;0;0;0;0;0;0;0
"41641";"SDN";"KOR";0;0;0;0;0;0;0;0;0
"41642";"SDN";"KWT";25316;0;25316;-25316;-1;0;25316;25316;1
"41643";"SDN";"LAO";0;0;0;0;0;0;0;0;0
"41644";"SDN";"LBN";282;0;282;-282;-1;0;282;282;1
"41645";"SDN";"LBR";0;0;0;0;0;0;0;0;0
"41646";"SDN";"LBY";10276;804;11080;-9472;-0,854873646209386;804;10276;9472;0,854873646209386
"41647";"SDN";"LCA";0;0;0;0;0;0;0;0;0
"41648";"SDN";"LIE";0;0;0;0;0;0;0;0;0
"41649";"SDN";"LKA";0;0;0;0;0;0;0;0;0
"41650";"SDN";"LSO";0;0;0;0;0;0;0;0;0
"41651";"SDN";"LTU";0;0;0;0;0;0;0;0;0
"41652";"SDN";"LUX";0;0;0;0;0;0;0;0;0
"41653";"SDN";"LVA";2;0;2;-2;-1;0;2;2;1
"41654";"SDN";"MAC";0;0;0;0;0;0;0;0;0
"41655";"SDN";"MAR";0;0;0;0;0;0;0;0;0
"41656";"SDN";"MCO";0;0;0;0;0;0;0;0;0
"41657";"SDN";"MDA";0;0;0;0;0;0;0;0;0
"41658";"SDN";"MDG";0;0;0;0;0;0;0;0;0
"41659";"SDN";"MDV";0;0;0;0;0;0;0;0;0
"41660";"SDN";"MEX";0;0;0;0;0;0;0;0;0
"41661";"SDN";"MHL";0;0;0;0;0;0;0;0;0
"41662";"SDN";"MKD";0;0;0;0;0;0;0;0;0
"41663";"SDN";"MLI";362;347;709;-15;-0,0211565585331453;347;362;15;0,0211565585331453
"41664";"SDN";"MLT";95;0;95;-95;-1;0;95;95;1
"41665";"SDN";"MMR";0;0;0;0;0;0;0;0;0
"41666";"SDN";"MNE";0;0;0;0;0;0;0;0;0
"41667";"SDN";"MNG";0;0;0;0;0;0;0;0;0
"41668";"SDN";"MNP";0;0;0;0;0;0;0;0;0
"41669";"SDN";"MOZ";0;0;0;0;0;0;0;0;0
"41670";"SDN";"MRT";0;0;0;0;0;0;0;0;0
"41671";"SDN";"MSR";0;0;0;0;0;0;0;0;0
"41672";"SDN";"MTQ";0;0;0;0;0;0;0;0;0
"41673";"SDN";"MUS";0;0;0;0;0;0;0;0;0
"41674";"SDN";"MWI";0;0;0;0;0;0;0;0;0
"41675";"SDN";"MYS";0;0;0;0;0;0;0;0;0
"41676";"SDN";"MYT";0;0;0;0;0;0;0;0;0
"41677";"SDN";"NAM";87;0;87;-87;-1;0;87;87;1
"41678";"SDN";"NCL";0;0;0;0;0;0;0;0;0
"41679";"SDN";"NER";221;0;221;-221;-1;0;221;221;1
"41680";"SDN";"NGA";0;7655;7655;7655;1;0;7655;7655;1
"41681";"SDN";"NIC";0;0;0;0;0;0;0;0;0
"41682";"SDN";"NIU";0;0;0;0;0;0;0;0;0
"41683";"SDN";"NLD";2854;0;2854;-2854;-1;0;2854;2854;1
"41684";"SDN";"NOR";1982;0;1982;-1982;-1;0;1982;1982;1
"41685";"SDN";"NPL";0;0;0;0;0;0;0;0;0
"41686";"SDN";"NRU";0;0;0;0;0;0;0;0;0
"41687";"SDN";"NZL";0;0;0;0;0;0;0;0;0
"41688";"SDN";"OMN";10459;0;10459;-10459;-1;0;10459;10459;1
"41689";"SDN";"PAK";0;0;0;0;0;0;0;0;0
"41690";"SDN";"PAN";0;0;0;0;0;0;0;0;0
"41691";"SDN";"PER";0;0;0;0;0;0;0;0;0
"41692";"SDN";"PHL";54;0;54;-54;-1;0;54;54;1
"41693";"SDN";"PLW";0;0;0;0;0;0;0;0;0
"41694";"SDN";"PNG";0;0;0;0;0;0;0;0;0
"41695";"SDN";"POL";91;0;91;-91;-1;0;91;91;1
"41696";"SDN";"PRI";0;0;0;0;0;0;0;0;0
"41697";"SDN";"PRK";0;0;0;0;0;0;0;0;0
"41698";"SDN";"PRT";0;0;0;0;0;0;0;0;0
"41699";"SDN";"PRY";0;0;0;0;0;0;0;0;0
"41700";"SDN";"PSE";0;0;0;0;0;0;0;0;0
"41701";"SDN";"PYF";0;0;0;0;0;0;0;0;0
"41702";"SDN";"QAT";14723;0;14723;-14723;-1;0;14723;14723;1
"41703";"SDN";"REU";0;0;0;0;0;0;0;0;0
"41704";"SDN";"ROU";0;0;0;0;0;0;0;0;0
"41705";"SDN";"RUS";233;0;233;-233;-1;0;233;233;1
"41706";"SDN";"RWA";0;0;0;0;0;0;0;0;0
"41707";"SDN";"SAU";266864;0;266864;-266864;-1;0;266864;266864;1
"41708";"SDN";"SDN";0;0;0;0;0;0;0;0;0
"41709";"SDN";"SEN";0;0;0;0;0;0;0;0;0
"41710";"SDN";"SGP";0;0;0;0;0;0;0;0;0
"41711";"SDN";"SHN";0;0;0;0;0;0;0;0;0
"41712";"SDN";"SLB";0;0;0;0;0;0;0;0;0
"41713";"SDN";"SLE";8;0;8;-8;-1;0;8;8;1
"41714";"SDN";"SLV";0;0;0;0;0;0;0;0;0
"41715";"SDN";"SMR";0;0;0;0;0;0;0;0;0
"41716";"SDN";"SOM";0;64;64;64;1;0;64;64;1
