i,j,Fij,Fji,FSij,FBij,FAij,minFij,maxFij,rangeFij,FDij
AFG,ZWE,0,0,0,0,0,0,0,0,0
AGO,ABW,0,0,0,0,0,0,0,0,0
AGO,AFG,0,0,0,0,0,0,0,0,0
AGO,AGO,0,0,0,0,0,0,0,0,0
AGO,AIA,0,0,0,0,0,0,0,0,0
AGO,ALB,0,0,0,0,0,0,0,0,0
AGO,AND,0,0,0,0,0,0,0,0,0
AGO,ARE,0,0,0,0,0,0,0,0,0
AGO,ARG,9,0,9,-9,-1,0,9,9,1
AGO,ARM,0,0,0,0,0,0,0,0,0
AGO,ASM,0,0,0,0,0,0,0,0,0
AGO,ATG,0,0,0,0,0,0,0,0,0
AGO,AUS,592,0,592,-592,-1,0,592,592,1
AGO,AUT,402,0,402,-402,-1,0,402,402,1
AGO,AZE,0,0,0,0,0,0,0,0,0
AGO,BDI,0,0,0,0,0,0,0,0,0
AGO,BEL,6897,0,6897,-6897,-1,0,6897,6897,1
AGO,BEN,0,0,0,0,0,0,0,0,0
AGO,BES,0,0,0,0,0,0,0,0,0
AGO,BFA,0,0,0,0,0,0,0,0,0
AGO,BGD,0,0,0,0,0,0,0,0,0
AGO,BGR,14,0,14,-14,-1,0,14,14,1
AGO,BHR,0,0,0,0,0,0,0,0,0
AGO,BHS,0,0,0,0,0,0,0,0,0
AGO,BIH,0,0,0,0,0,0,0,0,0
AGO,BLR,0,0,0,0,0,0,0,0,0
AGO,BLZ,0,0,0,0,0,0,0,0,0
AGO,BMU,0,0,0,0,0,0,0,0,0
AGO,BOL,6,0,6,-6,-1,0,6,6,1
AGO,BRA,8665,0,8665,-8665,-1,0,8665,8665,1
AGO,BRB,0,0,0,0,0,0,0,0,0
AGO,BRN,0,0,0,0,0,0,0,0,0
AGO,BTN,0,0,0,0,0,0,0,0,0
AGO,BWA,782,0,782,-782,-1,0,782,782,1
AGO,CAF,0,0,0,0,0,0,0,0,0
AGO,CAN,3322,0,3322,-3322,-1,0,3322,3322,1
AGO,CHE,6984,0,6984,-6984,-1,0,6984,6984,1
AGO,CHL,221,0,221,-221,-1,0,221,221,1
AGO,CHN,0,0,0,0,0,0,0,0,0
AGO,CIV,0,12896,12896,12896,1,0,12896,12896,1
AGO,CMR,2599,0,2599,-2599,-1,0,2599,2599,1
AGO,COD,179065,92242,271307,-86823,-0.320017544700284,92242,179065,86823,0.320017544700284
