"i","j","fij"
"ESP","ITA",34345
"PRY","USA",34307
"LBR","GHA",34234
"ATG","USA",34208
"ETH","KEN",34203
"DNK","USA",34123
"EGY","FRA",34064
"SUR","GUF",34060
"GBR","IMN",34050
"CIV","BEN",33996
"CMR","TCD",33936
"GBR","BGD",33910
"IRN","NLD",33819
"CHL","AUS",33707
"CAF","COG",33701
"USA","IRL",33693
"KOR","IDN",33357
"KOR","KAZ",33351
"GIN","FRA",33262
"GHA","BFA",33225
"ROU","SWE",33042
"JOR","QAT",32861
"IND","NLD",32833
"THA","KHM",32758
"SOM","ZAF",32696
"GBR","IDN",32693
"TUR","GRC",32638
"USA","NLD",32596
"THA","KOR",32456
"URY","BRA",32331
"BEL","DEU",32315
"IDN","KOR",32310
"LVA","DEU",32305
"DEU","HUN",32278
"KWT","USA",32208
"NGA","TGO",32176
"WSM","AUS",32173
"BIH","MNE",32081
"SVK","AUT",32073
"ITA","NLD",32013
"TTO","GBR",31720
"RUS","BGR",31679
"PER","CAN",31540
"PSE","DZA",31534
"BLR","ITA",31526
"MUS","AUS",31380
"ZMB","ZWE",31359
"BRA","CAN",31221
"KAZ","USA",31199
"DEU","HRV",31185
"NOR","USA",31180
"SOM","NOR",31160
"JPN","DEU",31157
"UKR","LVA",31141
"CIV","USA",31114
"TZA","BDI",31024
"YEM","JOR",30805
"PHL","GUM",30741
"GNB","SEN",30570
"TCD","NGA",30568
"BHR","BGD",30556
"SRB","NLD",30544
"DEU","NOR",30341
"ECU","CHL",30325
"SEN","GAB",30272
"CIV","ITA",30267
"GBR","SWE",30265
"MKD","USA",30256
"SEN","CIV",30182
"GUY","GBR",30180
"IRL","CAN",30167
"IND","JPN",30063
"YEM","ISR",30019
"COL","FRA",29983
"SAU","GBR",29894
"PHL","MAC",29881
"GRC","ALB",29852
"ETH","ITA",29662
"SOM","DEU",29661
"TJK","UKR",29660
"NLD","TUR",29630
"VNM","CHN",29612
"DNK","GBR",29584
"FRA","NLD",29455
"ESP","NLD",29337
"GEO","USA",29293
"HTI","BHS",29291
"NGA","ESP",29204
"POL","RUS",29200
"CHN","PRK",29145
"ESH","MRT",29089
"JPN","CAN",29010
"SOM","CAN",29005
