"i","j","fij"
"MSR","BLR",0
"MAR","BLR",0
"MOZ","BLR",0
"ARM","BLR",5656
"OMN","BLR",0
"NAM","BLR",0
"BRB","BLR",0
"NRU","BLR",0
"NPL","BLR",0
"NLD","BLR",0
"CUW","BLR",0
"ABW","BLR",0
"SXM","BLR",0
"BES","BLR",0
"NCL","BLR",0
"VUT","BLR",0
"NZL","BLR",0
"NIC","BLR",0
"BEL","BLR",35
"NER","BLR",0
"NGA","BLR",0
"NIU","BLR",0
"NOR","BLR",60
"MNP","BLR",0
"FSM","BLR",0
"MHL","BLR",0
"PLW","BLR",0
"PAK","BLR",46
"PAN","BLR",0
"PNG","BLR",0
"BMU","BLR",0
"PRY","BLR",0
"PER","BLR",0
"PHL","BLR",0
"POL","BLR",472
"PRT","BLR",0
"GNB","BLR",0
"TLS","BLR",0
"PRI","BLR",0
"QAT","BLR",0
"REU","BLR",0
"BTN","BLR",0
"ROU","BLR",22
"RUS","BLR",673880
"RWA","BLR",0
"SHN","BLR",0
"KNA","BLR",0
"AIA","BLR",0
"LCA","BLR",0
"SPM","BLR",0
"VCT","BLR",0
"SMR","BLR",0
"STP","BLR",0
"BOL","BLR",0
"SAU","BLR",0
"SEN","BLR",0
"SRB","BLR",34
"SYC","BLR",0
"SLE","BLR",0
"BIH","BLR",0
"SGP","BLR",0
"SVK","BLR",26
"VNM","BLR",361
"SVN","BLR",0
"SOM","BLR",0
"ZAF","BLR",0
"ZWE","BLR",0
"BWA","BLR",0
"ESP","BLR",34
"SSD","BLR",0
"SDN","BLR",0
"ESH","BLR",0
"SUR","BLR",0
"SWZ","BLR",0
"SWE","BLR",335
"CHE","BLR",28
"BRA","BLR",92
"SYR","BLR",81
"TJK","BLR",5608
"THA","BLR",0
"TGO","BLR",0
"TKL","BLR",0
"TON","BLR",0
"TTO","BLR",0
"ARE","BLR",22
"TUN","BLR",0
"TUR","BLR",24
"TKM","BLR",5395
"TCA","BLR",0
"TUV","BLR",0
"ALB","BLR",0
"UGA","BLR",0
"UKR","BLR",222917
"MKD","BLR",0
"EGY","BLR",0
"GBR","BLR",455
"JEY","BLR",0
"IMN","BLR",0
"TZA","BLR",0
"BLZ","BLR",0
"USA","BLR",85
"VIR","BLR",0
"BFA","BLR",0
"URY","BLR",27
"UZB","BLR",14603
"VEN","BLR",0
"WLF","BLR",0
"WSM","BLR",0
"YEM","BLR",32
"ZMB","BLR",0
"SLB","BLR",0
"VGB","BLR",0
"BRN","BLR",0
"BGR","KHM",0
"MMR","KHM",55
"BDI","KHM",0
"BLR","KHM",0
"KHM","KHM",0
"DZA","KHM",0
"CMR","KHM",0
"CAN","KHM",44
"CPV","KHM",0
"CYM","KHM",0
"CAF","KHM",0
"LKA","KHM",49
"TCD","KHM",0
"CHL","KHM",0
"CHN","KHM",1614
"ASM","KHM",0
"COL","KHM",0
"COM","KHM",0
"MYT","KHM",0
"COG","KHM",0
"COD","KHM",0
"COK","KHM",0
"CRI","KHM",0
"HRV","KHM",0
"CUB","KHM",0
"CYP","KHM",0
"AND","KHM",0
"CZE","KHM",0
"BEN","KHM",0
"DNK","KHM",0
"DMA","KHM",0
"DOM","KHM",0
"ECU","KHM",0
"SLV","KHM",0
"GNQ","KHM",0
"ETH","KHM",0
"ERI","KHM",0
"EST","KHM",0
"FRO","KHM",0
"FLK","KHM",0
"AGO","KHM",0
"FJI","KHM",0
"FIN","KHM",0
"FRA","KHM",292
"GUF","KHM",0
"PYF","KHM",0
"DJI","KHM",0
"GAB","KHM",0
"GEO","KHM",0
"GMB","KHM",0
"PSE","KHM",0
"DEU","KHM",40
"ATG","KHM",0
"GHA","KHM",0
"GIB","KHM",0
"KIR","KHM",0
"GRC","KHM",0
"GRL","KHM",0
"GRD","KHM",0
"AZE","KHM",0
"GLP","KHM",0
"GUM","KHM",0
"ARG","KHM",0
"GTM","KHM",0
"GIN","KHM",0
"GUY","KHM",0
"HTI","KHM",0
"VAT","KHM",0
"HND","KHM",0
"HKG","KHM",123
"HUN","KHM",0
"ISL","KHM",0
"IND","KHM",101
"AUS","KHM",123
"IDN","KHM",111
"IRN","KHM",0
"IRQ","KHM",0
"IRL","KHM",0
"ISR","KHM",0
"ITA","KHM",15
"CIV","KHM",0
"JAM","KHM",0
"JPN","KHM",132
"KAZ","KHM",0
"AFG","KHM",0
"AUT","KHM",0
"JOR","KHM",0
"KEN","KHM",0
"PRK","KHM",44
"KOR","KHM",59
"KWT","KHM",0
"KGZ","KHM",0
"LAO","KHM",276
"LBN","KHM",0
"LSO","KHM",0
"LVA","KHM",0
"LBR","KHM",0
"LBY","KHM",0
"LIE","KHM",0
"BHS","KHM",0
"LTU","KHM",0
"LUX","KHM",0
"MAC","KHM",0
"MDG","KHM",0
"MWI","KHM",0
"MYS","KHM",182
"MDV","KHM",0
"MLI","KHM",0
"MLT","KHM",0
"MTQ","KHM",0
"MRT","KHM",0
"BHR","KHM",0
"MUS","KHM",0
"MEX","KHM",0
"MCO","KHM",0
"MNG","KHM",0
"MDA","KHM",0
"MNE","KHM",0
"BGD","KHM",0
"MSR","KHM",0
"MAR","KHM",0
"MOZ","KHM",0
"ARM","KHM",0
"OMN","KHM",0
"NAM","KHM",0
"BRB","KHM",0
"NRU","KHM",0
"NPL","KHM",47
"NLD","KHM",31
"CUW","KHM",0
"ABW","KHM",0
"SXM","KHM",0
"BES","KHM",0
"NCL","KHM",0
"VUT","KHM",0
"NZL","KHM",0
"NIC","KHM",0
"BEL","KHM",0
"NER","KHM",0
"NGA","KHM",0
"NIU","KHM",0
"NOR","KHM",0
"MNP","KHM",0
"FSM","KHM",0
"MHL","KHM",0
"PLW","KHM",0
"PAK","KHM",43
"PAN","KHM",0
"PNG","KHM",0
"BMU","KHM",0
"PRY","KHM",0
"PER","KHM",0
"PHL","KHM",161
"POL","KHM",0
"PRT","KHM",0
"GNB","KHM",0
"TLS","KHM",0
"PRI","KHM",0
"QAT","KHM",0
"REU","KHM",0
"BTN","KHM",0
"ROU","KHM",0
"RUS","KHM",31
"RWA","KHM",0
"SHN","KHM",0
"KNA","KHM",0
"AIA","KHM",0
"LCA","KHM",0
"SPM","KHM",0
"VCT","KHM",0
"SMR","KHM",0
"STP","KHM",0
"BOL","KHM",0
"SAU","KHM",0
"SEN","KHM",0
"SRB","KHM",0
"SYC","KHM",0
"SLE","KHM",0
"BIH","KHM",0
"SGP","KHM",130
"SVK","KHM",0
"VNM","KHM",38744
"SVN","KHM",0
"SOM","KHM",0
"ZAF","KHM",0
"ZWE","KHM",0
"BWA","KHM",0
"ESP","KHM",0
"SSD","KHM",0
"SDN","KHM",0
"ESH","KHM",0
"SUR","KHM",0
"SWZ","KHM",0
"SWE","KHM",0
"CHE","KHM",0
"BRA","KHM",0
"SYR","KHM",0
"TJK","KHM",0
"THA","KHM",32758
"TGO","KHM",0
"TKL","KHM",0
"TON","KHM",0
"TTO","KHM",0
"ARE","KHM",0
"TUN","KHM",0
"TUR","KHM",0
"TKM","KHM",0
"TCA","KHM",0
"TUV","KHM",0
"ALB","KHM",0
"UGA","KHM",0
"UKR","KHM",0
"MKD","KHM",0
"EGY","KHM",0
"GBR","KHM",97
"JEY","KHM",0
"IMN","KHM",0
"TZA","KHM",0
"BLZ","KHM",0
"USA","KHM",207
"VIR","KHM",0
"BFA","KHM",0
"URY","KHM",0
"UZB","KHM",0
"VEN","KHM",0
"WLF","KHM",0
"WSM","KHM",0
"YEM","KHM",0
"ZMB","KHM",0
"SLB","KHM",0
"VGB","KHM",0
"BRN","KHM",0
"BGR","DZA",0
"MMR","DZA",0
"BDI","DZA",0
"BLR","DZA",0
"KHM","DZA",0
"DZA","DZA",0
"CMR","DZA",0
"CAN","DZA",0
"CPV","DZA",0
"CYM","DZA",0
"CAF","DZA",0
"LKA","DZA",0
"TCD","DZA",0
"CHL","DZA",0
"CHN","DZA",0
"ASM","DZA",0
"COL","DZA",0
"COM","DZA",0
"MYT","DZA",0
"COG","DZA",0
"COD","DZA",0
"COK","DZA",0
"CRI","DZA",0
"HRV","DZA",0
"CUB","DZA",0
"CYP","DZA",0
"AND","DZA",0
"CZE","DZA",0
"BEN","DZA",0
"DNK","DZA",0
"DMA","DZA",0
"DOM","DZA",0
"ECU","DZA",0
"SLV","DZA",0
"GNQ","DZA",0
"ETH","DZA",0
"ERI","DZA",0
"EST","DZA",0
"FRO","DZA",0
"FLK","DZA",0
"AGO","DZA",0
"FJI","DZA",0
"FIN","DZA",0
"FRA","DZA",551
"GUF","DZA",0
"PYF","DZA",0
