"i","j","fij"
"VGB","BHS",8
"BGR","BHS",0
"CAN","BHS",1040
"CYM","BHS",9
"CHL","BHS",8
"CHN","BHS",80
"HKG","BHS",35
"COL","BHS",30
"CRI","BHS",38
"CUB","BHS",79
"DNK","BHS",22
"DMA","BHS",41
"DOM","BHS",64
"ECU","BHS",12
"EGY","BHS",8
"SLV","BHS",4
"EST","BHS",0
"SWZ","BHS",0
"FRA","BHS",89
"DEU","BHS",190
"GHA","BHS",44
"GRC","BHS",63
"GRD","BHS",27
"GTM","BHS",8
"GUY","BHS",550
"HTI","BHS",15759
"HND","BHS",10
"IND","BHS",194
"IDN","BHS",7
"IRL","BHS",62
"ITA","BHS",86
"JAM","BHS",3282
"JPN","BHS",22
"KEN","BHS",5
"MEX","BHS",51
"NLD","BHS",33
"NZL","BHS",16
"NIC","BHS",8
"NGA","BHS",61
"NOR","BHS",11
"PAK","BHS",13
"PAN","BHS",15
"PER","BHS",41
"PHL","BHS",103
"POL","BHS",10
"PRT","BHS",5
"ROU","BHS",12
"RUS","BHS",14
"KNA","BHS",12
"LCA","BHS",41
"VCT","BHS",21
"ZAF","BHS",54
"ESP","BHS",40
"LKA","BHS",16
"SWE","BHS",21
"CHE","BHS",120
"TTO","BHS",299
"TCA","BHS",1284
"UGA","BHS",0
"UKR","BHS",0
"GBR","BHS",1834
"USA","BHS",4294
"URY","BHS",2
"VEN","BHS",20
"ZWE","BHS",0
"AFG","BHR",236
"BGD","BHR",24630
"TCD","BHR",154
"EGY","BHR",23628
"ERI","BHR",558
"ETH","BHR",392
"FRA","BHR",118
"IND","BHR",74599
"IDN","BHR",7640
"JOR","BHR",4019
"KWT","BHR",1913
"LBN","BHR",800
"MAR","BHR",282
"NPL","BHR",250
"NLD","BHR",156
"NGA","BHR",205
"PAK","BHR",25280
"PHL","BHR",10206
"QAT","BHR",13
"SAU","BHR",108
"SOM","BHR",374
"SSD","BHR",586
"LKA","BHR",5119
"PSE","BHR",1684
"SDN","BHR",4760
"SYR","BHR",1955
"THA","BHR",323
"TUN","BHR",170
"TUR","BHR",1420
"ARE","BHR",1359
"GBR","BHR",1493
"USA","BHR",498
"YEM","BHR",6464
"BHR","BGD",10375
"BRA","BGD",5387
"KHM","BGD",13190
"CHN","BGD",131427
"IND","BGD",18075
"IDN","BGD",84052
"JPN","BGD",9330
"LAO","BGD",59555
"MYS","BGD",126263
"MMR","BGD",228109
"NPL","BGD",11361
"NOR","BGD",7022
"SGP","BGD",9063
"THA","BGD",11945
"GBR","BGD",16056
"USA","BGD",30085
"VNM","BGD",29184
"ATG","BRB",246
"AUS","BRB",26
"BHS","BRB",59
"CAN","BRB",729
"DMA","BRB",492
"GRD","BRB",616
"GUY","BRB",2792
"IND","BRB",481
"JAM","BRB",679
"LCA","BRB",3621
"VCT","BRB",4014
"TTO","BRB",1910
"GBR","BRB",3262
"USA","BRB",1213
"AFG","BLR",216
"DZA","BLR",41
"ARG","BLR",92
"ARM","BLR",6295
"AUS","BLR",25
"AUT","BLR",53
"AZE","BLR",14826
"BEL","BLR",33
"BRA","BLR",83
"BGR","BLR",47
"CAN","BLR",123
"CUB","BLR",34
"CZE","BLR",91
"PRK","BLR",80
"DNK","BLR",168
"EST","BLR",3397
"ETH","BLR",18
"FIN","BLR",1688
"GEO","BLR",9348
"DEU","BLR",50
"GRC","BLR",139
"HUN","BLR",323
"IND","BLR",37
"IRN","BLR",38
"IRL","BLR",20
"ISR","BLR",297
"ITA","BLR",17
"JOR","BLR",22
"KAZ","BLR",76868
"KGZ","BLR",5751
"LVA","BLR",10983
"LBN","BLR",50
"LTU","BLR",18210
"MNG","BLR",136
"NOR","BLR",56
"PAK","BLR",37
"POL","BLR",365
"KOR","BLR",26
"MDA","BLR",8361
"ROU","BLR",17
"RUS","BLR",749767
"SRB","BLR",27
"SVK","BLR",26
"ESP","BLR",34
"SWE","BLR",271
"CHE","BLR",26
"SYR","BLR",63
"TJK","BLR",6240
"TUR","BLR",18
"TKM","BLR",6005
"UKR","BLR",248032
"ARE","BLR",19
"GBR","BLR",409
"USA","BLR",66
"URY","BLR",25
"UZB","BLR",16225
"VNM","BLR",282
"YEM","BLR",24
"AFG","BEL",79
"ALB","BEL",2143
"DZA","BEL",24149
"AGO","BEL",985
"ARG","BEL",1152
"ARM","BEL",6
