"i","j","fij"
"LVA","AUT",244
"LBN","AUT",1099
"LSO","AUT",0
"LBR","AUT",229
"LBY","AUT",270
"LIE","AUT",146
"LTU","AUT",304
"LUX","AUT",406
"MDG","AUT",20
"MWI","AUT",19
"MYS","AUT",228
"MDV","AUT",7
"MLI","AUT",73
"MLT","AUT",47
"MRT","AUT",31
"MUS","AUT",54
"MEX","AUT",627
"FSM","AUT",0
"MCO","AUT",10
"MNG","AUT",634
"MNE","AUT",10667
"MAR","AUT",1049
"MOZ","AUT",30
"MMR","AUT",32
"NAM","AUT",71
"NRU","AUT",0
"NPL","AUT",374
"NLD","AUT",4109
"NZL","AUT",240
"NIC","AUT",82
"NER","AUT",21
"NGA","AUT",5863
"MKD","AUT",11956
"NOR","AUT",372
"OMN","AUT",16
"PAK","AUT",3137
"PLW","AUT",0
"PAN","AUT",24
"PNG","AUT",31
"PRY","AUT",97
"PER","AUT",553
"PHL","AUT",4626
"POL","AUT",30336
"PRT","AUT",1005
"PRI","AUT",3
"QAT","AUT",15
"KOR","AUT",66
"MDA","AUT",672
"ROU","AUT",31151
"RUS","AUT",13482
"RWA","AUT",115
"KNA","AUT",0
"LCA","AUT",10
"VCT","AUT",6
"WSM","AUT",1
"SMR","AUT",0
"STP","AUT",1
"SAU","AUT",279
"SEN","AUT",225
"SRB","AUT",94987
"SYC","AUT",19
"SLE","AUT",203
"SGP","AUT",110
"SVK","AUT",9577
"SVN","AUT",7888
"SLB","AUT",7
"SOM","AUT",730
"ZAF","AUT",1222
"ESP","AUT",1875
"LKA","AUT",533
"PSE","AUT",196
"SDN","AUT",466
"SUR","AUT",11
"SWE","AUT",1465
"CHE","AUT",7214
"SYR","AUT",2074
"TJK","AUT",124
"THA","AUT",896
"TGO","AUT",137
"TON","AUT",2
"TTO","AUT",27
"TUN","AUT",2570
"TUR","AUT",99090
"TKM","AUT",47
"TUV","AUT",3
"UGA","AUT",144
"UKR","AUT",2387
"ARE","AUT",82
"GBR","AUT",5857
"TZA","AUT",80
"USA","AUT",5444
"URY","AUT",127
"UZB","AUT",333
"VUT","AUT",2
"VEN","AUT",360
"VNM","AUT",1553
"YEM","AUT",57
"ZMB","AUT",46
"ZWE","AUT",146
"AFG","AZE",132
"ARM","AZE",75416
"BLR","AZE",111
"EST","AZE",231
"GEO","AZE",24733
"DEU","AZE",126
"IRN","AZE",970
"KAZ","AZE",1514
"KGZ","AZE",1239
"MDA","AZE",51
"RUS","AZE",9398
"TJK","AZE",101
"TUR","AZE",1578
"TKM","AZE",761
"UKR","AZE",763
"UZB","AZE",8219
"ATG","BHS",6
"ARG","BHS",73
"AUS","BHS",42
"AUT","BHS",20
"BRB","BHS",152
"BEL","BHS",18
"BLZ","BHS",15
"BMU","BHS",15
"BWA","BHS",9
"BRA","BHS",58
"VGB","BHS",0
"BGR","BHS",16
"CAN","BHS",854
"CYM","BHS",13
"CHL","BHS",15
"CHN","BHS",99
"HKG","BHS",12
"COL","BHS",114
"CRI","BHS",21
"CUB","BHS",125
"DNK","BHS",7
"DMA","BHS",35
"DOM","BHS",172
"ECU","BHS",28
"EGY","BHS",18
"SLV","BHS",68
"EST","BHS",6
"SWZ","BHS",5
"FRA","BHS",92
"DEU","BHS",139
"GHA","BHS",39
"GRC","BHS",59
"GRD","BHS",14
"GTM","BHS",16
"GUY","BHS",581
"HTI","BHS",15643
"HND","BHS",34
"IND","BHS",336
"IDN","BHS",13
"IRL","BHS",32
"ITA","BHS",105
"JAM","BHS",2276
"JPN","BHS",8
"KEN","BHS",8
"MEX","BHS",85
"NLD","BHS",31
"NZL","BHS",7
"NIC","BHS",6
"NGA","BHS",83
"NOR","BHS",4
"PAK","BHS",0
"PAN","BHS",17
"PER","BHS",138
"PHL","BHS",542
"POL","BHS",7
"PRT","BHS",13
"ROU","BHS",98
"RUS","BHS",10
"KNA","BHS",13
"LCA","BHS",39
"VCT","BHS",29
"ZAF","BHS",55
"ESP","BHS",88
"LKA","BHS",22
